Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,305,275,23,7,"December 15, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,21,1454,1318,126,10,"December 15, 2020"
FEDERAL PRISON IN LOMPOC,0,1038,1028,7,3,"December 15, 2020"
CITY OF SANTA MARIA,71,5312,4898,338,76,"December 15, 2020"
COMMUNITY OF ORCUTT,12,648,584,56,8,"December 15, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",12,585,540,38,7,"December 15, 2020"
Out of County,,,0,0,0,"December 15, 2020"
Pending,12,555,487,68,,"December 15, 2020"
Total** ,207,13763,12562,1059,142,"December 15, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",16,374,325,42,7,"December 14, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,68,1980,1763,202,15,"December 14, 2020"
CITY OF GOLETA,19,484,423,56,5,"December 14, 2020"
COMMUNITY OF ISLA VISTA,14,583,556,26,1,"December 14, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,7,369,328,38,3,"December 14, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,300,272,21,7,"December 14, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,35,1433,1301,123,9,"December 14, 2020"
FEDERAL PRISON IN LOMPOC,7,1038,1028,7,3,"December 14, 2020"
CITY OF SANTA MARIA,136,5240,4881,284,75,"December 14, 2020"
COMMUNITY OF ORCUTT,19,636,579,49,8,"December 14, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",10,573,537,29,7,"December 14, 2020"
Out of County,,,0,0,0,"December 14, 2020"
Pending,23,547,484,63,,"December 14, 2020"
Total** ,360,13557,12477,940,140,"December 14, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,358,320,31,7,"December 13, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,39,1912,1743,154,15,"December 13, 2020"
CITY OF GOLETA,19,465,422,38,5,"December 13, 2020"
COMMUNITY OF ISLA VISTA,1,569,556,12,1,"December 13, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,362,325,34,3,"December 13, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,294,265,22,7,"December 13, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,9,1398,1290,99,9,"December 13, 2020"
FEDERAL PRISON IN LOMPOC,0,1031,1028,0,3,"December 13, 2020"
CITY OF SANTA MARIA,48,5105,4850,180,75,"December 13, 2020"
COMMUNITY OF ORCUTT,6,617,573,36,8,"December 13, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,563,534,22,7,"December 13, 2020"
Out of County,,,,,,"December 13, 2020"
Pending,9,524,472,52,0,"December 13, 2020"
Total** ,145,13198,12378,680,140,"December 13, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",10,355,316,32,7,"December 12, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,41,1874,1717,142,15,"December 12, 2020"
CITY OF GOLETA,10,446,415,26,5,"December 12, 2020"
COMMUNITY OF ISLA VISTA,10,568,548,19,1,"December 12, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,359,323,33,3,"December 12, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,293,260,26,7,"December 12, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,34,1389,1260,120,9,"December 12, 2020"
FEDERAL PRISON IN LOMPOC,0,1031,1028,0,3,"December 12, 2020"
CITY OF SANTA MARIA,53,5057,4810,172,75,"December 12, 2020"
COMMUNITY OF ORCUTT,4,612,561,43,8,"December 12, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",8,557,528,22,7,"December 12, 2020"
Out of County,,,,,,"December 12, 2020"
Pending,13,515,464,51,0,"December 12, 2020"
Total** ,191,13056,12230,686,140,"December 12, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,345,309,29,7,"December 11, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1833,1693,125,15,"December 11, 2020"
CITY OF GOLETA,3,436,405,26,5,"December 11, 2020"
COMMUNITY OF ISLA VISTA,0,558,546,11,1,"December 11, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,355,319,33,3,"December 11, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,289,259,23,7,"December 11, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,13,1355,1241,105,9,"December 11, 2020"
FEDERAL PRISON IN LOMPOC,0,1031,1028,0,3,"December 11, 2020"
CITY OF SANTA MARIA,12,5005,4762,168,75,"December 11, 2020"
COMMUNITY OF ORCUTT,7,608,548,52,8,"December 11, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,549,525,17,7,"December 11, 2020"
Out of County,,,0,0,0,"December 11, 2020"
Pending,7,502,448,54,,"December 11, 2020"
Total** ,59,12866,12083,643,140,"December 11, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,345,309,29,7,"December 11, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1833,1693,125,15,"December 11, 2020"
CITY OF GOLETA,3,436,405,26,5,"December 11, 2020"
COMMUNITY OF ISLA VISTA,0,558,546,11,1,"December 11, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,355,319,33,3,"December 11, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,289,259,23,7,"December 11, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,13,1355,1241,105,9,"December 11, 2020"
FEDERAL PRISON IN LOMPOC,0,1031,1028,0,3,"December 11, 2020"
CITY OF SANTA MARIA,12,5005,4762,168,75,"December 11, 2020"
COMMUNITY OF ORCUTT,7,608,548,52,8,"December 11, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,549,525,17,7,"December 11, 2020"
Out of County,,,0,0,0,"December 11, 2020"
Pending,7,502,448,54,,"December 11, 2020"
Total** ,59,12866,12083,643,140,"December 11, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,342,300,35,7,"December 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,28,1825,1653,157,15,"December 10, 2020"
CITY OF GOLETA,9,432,383,44,5,"December 10, 2020"
COMMUNITY OF ISLA VISTA,3,558,541,16,1,"December 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,9,353,315,35,3,"December 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,287,249,31,7,"December 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,26,1342,1213,120,9,"December 10, 2020"
FEDERAL PRISON IN LOMPOC,0,1031,1024,4,3,"December 10, 2020"
CITY OF SANTA MARIA,52,4993,4692,226,75,"December 10, 2020"
COMMUNITY OF ORCUTT,13,601,530,63,8,"December 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",7,547,519,21,7,"December 10, 2020"
Out of County,,,0,0,0,"December 10, 2020"
Pending,13,497,433,64,,"December 10, 2020"
Total** ,172,12808,11852,816,140,"December 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,337,295,35,7,"December 9, 2020"
